artigoEmPeriodico	Carla Daruich de Souza	2022	2319-0612	http://dx.doi.org/10.15392/2319-0612.2022.2095	Assessment of public perception of radioactivity in Brazil	BRAZILIAN JOURNAL OF RADIATION SCIENCES	FONTOLAN, A. F. A. M. ; Daruich de Souza, Carla	B1	
artigoEmPeriodico	Carla Daruich de Souza	2022	0969-8043	http://dx.doi.org/10.1016/j.apradiso.2022.110485	Characteristics comparison and Monte-Carlo simulation of isotopes used in betavoltaics for MEMS application	APPLIED RADIATION AND ISOTOPES	Daruich de Souza, Carla; KIM, JIN JOO ; KIM, JONG BUM ; JI, WANOOK ; SON, KWANG JAE ; HONG, JIN TAE	A2	
artigoEmPeriodico	Carla Daruich de Souza	2022	2468-3574	http://dx.doi.org/10.29337/ijsp.182	Radioactive Seed Localization for Conservative Surgery of Nonpalpable Breast Cancer: Recommendations for Technology Implantation Program	International Journal Of Surgery Protocols	FERREIRA, HORTÊNCIA H. J. ; Daruich de Souza, Carla ; ROSTELATO, MARIA ELISA C. M.	Qualis nao identificado	INTERNATIONAL JOURNAL OF SURGERY PROTOCOLS
artigoEmPeriodico	Carla Daruich de Souza	2021	2319-0612	http://dx.doi.org/10.15392/bjrs.v9i1A.1260	New gold-198 nanoparticle synthesis to be used in cancer treatment	BRAZILIAN JOURNAL OF RADIATION SCIENCES	Daruich de Souza, Carla; ZEITUNI, C.A. ; ROSERO, W. A. A. ; NOGUEIRA, BEATRIZ RIBEIRO ; ROSTELATO, MARIA ELISA CHUERY MARTINS	B1	
artigoEmPeriodico	Carla Daruich de Souza	2021	2319-0612	http://dx.doi.org/10.15392/bjrs.v9i3.1707	The basics of radiation damage in crystalline silicon networks by NIEL	BRAZILIAN JOURNAL OF RADIATION SCIENCES	Daruich de Souza, Carla; KIM, J. B. ; KIM, J. J. ; KIM, J. ; JI, W. ; SON, K. J. ; CHOI, S. M. ; KANG, G. J. ; HONG, J. T.	B1	
artigoEmPeriodico	Carla Daruich de Souza	2021	0969-8043	http://dx.doi.org/10.1016/j.apradiso.2021.109952	New model for an epoxy-based brachytherapy source to be used in spinal cancer	APPLIED RADIATION AND ISOTOPES	SILVA, J. T. ; Daruich de Souza, Carla ; ANGELOCCI, L. V. ; ROSERO, W. A. A. ; NOGUEIRA, B. R. ; CORREIA, R. W. ; CARLOS A. ZEITUNI ; ROSTELATO, M. E. C. M.	A2	
artigoEmPeriodico	Carla Daruich de Souza	2021	0168-9002	http://dx.doi.org/10.1016/j.nima.2021.165925	Discrete time domain analysis of radiation detector noise	NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT	KIM, JONG BUM ; KIM, JIN ; DE SOUZA, CARLA DARUICH	A3	
artigoEmPeriodico	Carla Daruich de Souza	2021	0149-1970	http://dx.doi.org/10.1016/j.pnucene.2021.104084	Monte Carlo simulation for evaluating the attenuation effects of a protective layer for a Ni-63 nuclear battery	PROGRESS IN NUCLEAR ENERGY	Daruich de Souza, Carla; KIM, J. B. ; KIM, J. J. ; KIM, J. ; JI, W. ; SON, K. J. ; CHOI, S. M. ; KANG, G. J. ; HONG, J. T.	A2	
artigoEmPeriodico	Carla Daruich de Souza	2021	2319-6475	http://dx.doi.org/10.24327/ijcar.2021. 25544.5098	THE BASICS OF BETAVOLTAIC NUCLEAR BATTERIES	INTERNATIONAL JOURNAL OF CURRENT ADVANCED RESEARCH	Daruich de Souza, Carla; KIM, J. B. ; KIM, J. J. ; KIM, J. ; JI, W. ; SON, K. J. ; CHOI, S. M. ; KANG, G. J. ; HONG, J. T.	C	
artigoEmPeriodico	Carla Daruich de Souza	2021	0969-8043	http://dx.doi.org/10.1016/j.apradiso.2021.109709	Monte Carlo simulation to assess free space and end-weld thickness variation effects on dose rate for a new Ir-192 brachytherapy source	APPLIED RADIATION AND ISOTOPES	ANGELOCCI, LUCAS VERDI ; Daruich de Souza, Carla ; PANTELIS, EVAGGELOS ; NOGUEIRA, BEATRIZ RIBEIRO ; ZEITUNI, CARLOS ALBERTO ; CHUERI MARTINS ROSTELATO, MARIA ELISA	A2	
trabalhoCompletoEmCongresso	Carla Daruich de Souza	2023	http://dx.doi.org/10.5772/35576	Validation of Fricke xylene gel dosimetry through comparisons between MCNP and TOPAS simulations	4th International Conference on Dosimetry and its Applications	RODRIGUES, P. S. ; BURIN, A. L. ; TALACIMON, C. ; MEDEIROS, I. M. M. A. ; PEREIRA, J. ; TEODORO, L. E. H. ; RIGO, M. ; TAVARES, P. ; MARTINS, A. ; DE SOUZA, CARLA DARUICH ; ZEITUNI, C.A. ; YORIYAZ, H. ; RODRIGUES JR, O. ; ROSTELATO, M.	Qualis nao identificado	4th International Conference on Dosimetry and its Applications
resumoExpandidoEmCongresso	Carla Daruich de Souza	2024	A dosimetric evaluation using the Monte Carlo method considering geometric variations of the iodine-125 seed for brachytherapy	International Nuclear Atlantic Conference, 2024, Rio de Janeiro. Anals of INAC	CHICO, H. S. ; ANGELOCCI, LUCAS VERDI ; Daruich de Souza, Carla ; SGRIGNOLI, S. S. ; ROSTELATO, M.	Qualis nao identificado	INTERNATIONAL NUCLEAR ATLANTIC CONFERENCE, 2024, RIO DE JANEIRO. ANALS OF INAC
resumoExpandidoEmCongresso	Carla Daruich de Souza	2024	Estimation of Dose Deposition by 198-AuNPs in the Prostate with MCNP in Simplified Geometry	International Nuclear Atlantic Conference, 2024, Rio de Janeiro. Anals of INAC	SGRIGNOLI, S. S. ; ANGELOCCI, LUCAS VERDI ; CHICO, H. S. ; Daruich de Souza, Carla ; BURIN, A. L. ; RODRIGUES, P. S. ; TEODORO, L. E. H. ; MEDEIROS, I. M. M. A. ; ZEITUNI, C.A. ; ROSTELATO, M.	Qualis nao identificado	INTERNATIONAL NUCLEAR ATLANTIC CONFERENCE, 2024, RIO DE JANEIRO. ANALS OF INAC
